date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-02-04,U001,2482186.6,5235343.28,41974936.02000001,2484974.262857143,2451619.9340000004,682345.9007254406,766012.309110156,2327400.5257142857,1504729.183,0.6137693539409766,1103016.1600000113,28406722.53000001,0.5707102127029777,0,2,0
2019-02-05,U001,3770729.86,3598225.7600000002,42147440.12000001,2658277.1,2548376.0823333333,839764.8441838175,742037.294121342,2430971.365714286,1624670.0416666667,0.6375315060166054,1591140.140000008,27711181.22000001,0.5512980130390743,1,2,0
2019-02-06,U001,3597865.27,2496613.94,43248691.45000001,2702611.435714286,2578729.003666667,885470.1517771068,766147.0091717517,2419548.85,1707162.8883333332,0.6620171743156946,1981438.1000000015,26146983.46000001,0.5590440276134118,2,2,0
2019-02-07,U001,3475984.15,3175447.75,43549227.85000002,2775308.4214285715,2620233.521666667,930546.3228136183,780248.0425483051,2503230.075714286,1810064.6773333333,0.6908028091259573,1904548.4200000092,24305065.330000017,0.5540120437089823,3,2,0
2019-02-08,U001,2322008.7,3446470.29,42424766.26000002,2690424.27,2622514.8376666666,942575.5806114053,779238.4087214203,2565446.9185714284,1913006.9686666667,0.7294551554830206,874841.4600000083,21285236.070000023,0.5392377023085045,4,2,0
2019-02-09,U001,2094859.29,55145.009999999995,44464480.54000003,2798856.5799999996,2599731.8496666667,792482.3711782796,784499.1067786361,2572463.7185714287,1880941.6536666667,0.7235137169657855,1584750.0300000086,21563705.88000003,0.5701162416129083,5,2,1
2019-02-10,U001,1652571.53,0.0,46117052.07000003,2770886.485714286,2594924.9636666668,833988.7488231541,790011.1606822667,2572463.7185714287,1860198.589666667,0.7168602621318881,1388959.3700000122,22041791.220000032,0.5924005859606305,6,2,1
2019-02-11,U001,2109515.14,6379919.14,41846648.07000003,2717647.705714286,2622940.6416666666,866741.7202787811,755520.5907453778,2735974.555714286,2072862.5610000002,0.7902819179632153,-128287.94999998063,16502342.420000032,0.5318032161466156,0,2,0
2019-02-12,U001,2191921.4899999998,4213051.44,39825518.12000002,2492103.652857143,2660587.38,743725.1340146406,701276.5230428574,2823806.7957142857,2213297.609,0.8318830742555805,-2321921.9999999925,13418693.130000021,0.49895646376653396,1,2,0
2019-02-13,U001,3556208.73,2266126.7,41115600.15000002,2486152.7185714287,2701159.2023333334,733499.0815392204,717064.077236873,2790880.0471428568,2259809.5300000003,0.8366073084651643,-2133091.2999999896,13240490.170000024,0.5073821653370556,2,2,0
